sent_utc,latency_ms,status,probability,label,model_version
2026-09-26T05:23:49.795+00:00,392.83,200,0.5294336483130693,0,1
2026-09-26T05:23:49.796+00:00,393.62,200,0.013629322318555128,0,1
2026-09-26T05:23:49.795+00:00,413.36,200,0.20610254587565371,0,1
2026-09-26T05:23:49.795+00:00,413.52,200,0.04974131009679041,0,1
2026-09-26T05:23:49.796+00:00,418.54,200,0.0158924308089558,0,1
2026-09-26T05:23:49.795+00:00,420.35,200,0.01817210914439063,0,1
2026-09-26T05:23:50.188+00:00,50.65,200,0.048488744095750255,0,1
2026-09-26T05:23:50.189+00:00,53.13,200,0.027722952224824772,0,1
2026-09-26T05:23:50.208+00:00,51.58,200,0.12552521266977137,0,1
2026-09-26T05:23:50.209+00:00,65.33,200,0.1530114973400364,0,1
2026-09-26T05:23:50.216+00:00,60.26,200,0.028359459181877794,0,1
2026-09-26T05:23:50.214+00:00,63.29,200,0.04317822755737906,0,1
2026-09-26T05:23:50.239+00:00,51.43,200,0.021341810644382564,0,1
2026-09-26T05:23:50.242+00:00,53.28,200,0.04164010003329972,0,1
2026-09-26T05:23:50.260+00:00,53.14,200,0.08790998562118103,0,1
2026-09-26T05:23:50.277+00:00,53.05,200,0.13709295001919344,0,1
2026-09-26T05:23:50.274+00:00,60.58,200,0.016415788674198285,0,1
2026-09-26T05:23:50.290+00:00,57.64,200,0.03888092158734585,0,1
2026-09-26T05:23:50.276+00:00,82.53,200,0.0838973135333166,0,1
2026-09-26T05:23:50.296+00:00,63.81,200,0.03197976999806585,0,1
2026-09-26T05:23:50.313+00:00,51.16,200,0.03666700201767664,0,1
2026-09-26T05:23:50.330+00:00,52.76,200,0.48352308289238294,1,1
2026-09-26T05:23:50.335+00:00,53.84,200,0.07630794846385007,0,1
2026-09-26T05:23:50.348+00:00,52.13,200,0.028603059897480243,0,1
2026-09-26T05:23:50.359+00:00,51.02,200,0.0246287949080137,0,1
2026-09-26T05:23:50.364+00:00,61.23,200,0.2109955628485559,0,1
2026-09-26T05:23:50.359+00:00,67.71,200,0.02726837427131079,0,1
2026-09-26T05:23:50.389+00:00,50.13,200,0.052484069793013684,0,1
2026-09-26T05:23:50.383+00:00,56.72,200,0.03381938487510141,0,1
2026-09-26T05:23:50.400+00:00,49.34,200,0.2993202712034832,0,1
2026-09-26T05:23:50.410+00:00,51.53,200,0.34611544658966836,0,1
2026-09-26T05:23:50.426+00:00,54.4,200,0.12903118883488257,0,1
2026-09-26T05:23:50.427+00:00,55.06,200,0.0322793451286513,0,1
2026-09-26T05:23:50.440+00:00,55.62,200,0.22317499801981577,0,1
2026-09-26T05:23:50.439+00:00,65.11,200,0.02043913213794617,0,1
2026-09-26T05:23:50.449+00:00,59.41,200,0.017181745186428916,0,1
2026-09-26T05:23:50.509+00:00,96.48,200,0.0350193524982519,0,1
2026-09-26T05:23:50.480+00:00,127.2,200,0.10310049517536561,0,1
2026-09-26T05:23:50.482+00:00,125.71,200,0.3911915744087691,1,1
2026-09-26T05:23:50.461+00:00,147.53,200,0.14383061526815513,1,1
2026-09-26T05:23:50.504+00:00,106.51,200,0.2149354545819743,0,1
2026-09-26T05:23:50.496+00:00,115.03,200,0.19226344101131157,0,1
2026-09-26T05:23:50.607+00:00,56.09,200,0.04317822755737906,0,1
2026-09-26T05:23:50.608+00:00,63.41,200,0.19345083005721903,0,1
2026-09-26T05:23:50.610+00:00,96.53,200,0.12072987548441613,0,1
2026-09-26T05:23:50.605+00:00,102.24,200,0.016813015894295565,0,1
2026-09-26T05:23:50.609+00:00,99.41,200,0.01694379445328973,0,1
2026-09-26T05:23:50.611+00:00,101.66,200,0.14401622750987997,0,1
2026-09-26T05:23:50.663+00:00,51.47,200,0.038403658674218535,0,1
2026-09-26T05:23:50.671+00:00,55.19,200,0.28141242758364216,0,1
2026-09-26T05:23:50.707+00:00,55.02,200,0.03666738375514718,0,1
2026-09-26T05:23:50.727+00:00,52.61,200,0.25824012186722156,1,1
2026-09-26T05:23:50.708+00:00,92.45,200,0.11211364627556242,0,1
2026-09-26T05:23:50.715+00:00,86.72,200,0.02265707557836572,0,1
2026-09-26T05:23:50.712+00:00,89.61,200,0.020337437674907505,0,1
2026-09-26T05:23:50.708+00:00,94.11,200,0.13654103674267173,0,1
2026-09-26T05:23:50.762+00:00,50.7,200,0.021252864209526937,0,1
2026-09-26T05:23:50.779+00:00,55.05,200,0.2803189951218338,0,1
2026-09-26T05:23:50.800+00:00,61.96,200,0.041696224928108636,0,1
2026-09-26T05:23:50.813+00:00,53.11,200,0.24116690809849226,0,1
2026-09-26T05:23:50.802+00:00,79.18,200,0.2803189951218338,0,1
2026-09-26T05:23:50.802+00:00,80.33,200,0.1961561997299608,0,1
2026-09-26T05:23:50.801+00:00,82.52,200,0.04281128007856566,0,1
2026-09-26T05:23:50.834+00:00,55.26,200,0.016485522552889365,0,1
2026-09-26T05:23:50.862+00:00,54.93,200,0.10863229844559939,0,1
2026-09-26T05:23:50.866+00:00,55.88,200,0.10109234168903047,0,1
2026-09-26T05:23:50.881+00:00,66.19,200,0.04418856674217678,0,1
2026-09-26T05:23:50.884+00:00,67.71,200,0.037485756754158196,0,1
2026-09-26T05:23:50.882+00:00,73.78,200,0.04850556477806012,0,1
2026-09-26T05:23:50.890+00:00,68.69,200,0.22398118502158973,0,1
2026-09-26T05:23:50.917+00:00,54.12,200,0.06846610105079519,0,1
2026-09-26T05:23:50.922+00:00,52.28,200,0.022972928106999895,0,1
2026-09-26T05:23:50.952+00:00,71.49,200,0.014045158726328505,0,1
2026-09-26T05:23:50.948+00:00,76.47,200,0.06013450113146435,0,1
2026-09-26T05:23:51.024+00:00,106.08,200,0.016907747054478207,0,1
2026-09-26T05:23:50.974+00:00,156.8,200,0.02816496740088168,0,1
2026-09-26T05:23:50.971+00:00,160.87,200,0.061230569852241186,0,1
2026-09-26T05:23:50.956+00:00,176.6,200,0.05134986912720074,0,1
2026-09-26T05:23:51.023+00:00,110.4,200,0.0290454752640122,0,1
2026-09-26T05:23:50.958+00:00,176.25,200,0.015446410222280929,0,1
2026-09-26T05:23:51.130+00:00,67.27,200,0.04210983436497814,1,1
2026-09-26T05:23:51.133+00:00,66.85,200,0.3804295688737205,1,1
2026-09-26T05:23:51.134+00:00,67.55,200,0.023278390611101662,0,1
2026-09-26T05:23:51.131+00:00,90.25,200,0.0149857102038846,0,1
2026-09-26T05:23:51.134+00:00,88.72,200,0.17577258631243775,0,1
2026-09-26T05:23:51.132+00:00,93.66,200,0.25824012186722156,1,1
2026-09-26T05:23:51.201+00:00,55.05,200,0.044767826948517005,0,1
2026-09-26T05:23:51.198+00:00,77.7,200,0.2090899831526037,1,1
2026-09-26T05:23:51.199+00:00,76.48,200,0.25646863542044035,0,1
2026-09-26T05:23:51.226+00:00,58.55,200,0.028359459181877794,0,1
2026-09-26T05:23:51.221+00:00,64.9,200,0.013197653697154468,0,1
2026-09-26T05:23:51.223+00:00,63.94,200,0.03981334576705297,0,1
2026-09-26T05:23:51.256+00:00,53.41,200,0.31022399316641913,0,1
2026-09-26T05:23:51.275+00:00,55.4,200,0.02674047969221384,0,1
2026-09-26T05:23:51.276+00:00,55.31,200,0.04757051196402675,0,1
2026-09-26T05:23:51.286+00:00,54.32,200,0.17191132420967783,0,1
2026-09-26T05:23:51.287+00:00,55.52,200,0.0322793451286513,0,1
2026-09-26T05:23:51.284+00:00,75.29,200,0.5059479695457558,0,1
2026-09-26T05:23:51.310+00:00,51.02,200,0.02421023074637678,0,1
2026-09-26T05:23:51.331+00:00,63.52,200,0.04850556477806012,0,1
2026-09-26T05:23:51.340+00:00,58.86,200,0.027680015784580417,0,1
2026-09-26T05:23:51.331+00:00,69.95,200,0.07878018177723121,0,1
2026-09-26T05:23:51.343+00:00,60.73,200,0.13654103674267173,0,1
2026-09-26T05:23:51.361+00:00,49.62,200,0.032008676628497865,0,1
2026-09-26T05:23:51.360+00:00,63.71,200,0.12719422147997508,0,1
2026-09-26T05:23:51.394+00:00,61.29,200,0.03063354565555946,0,1
2026-09-26T05:23:51.423+00:00,53.77,200,0.14766857218143503,0,1
2026-09-26T05:23:51.399+00:00,81.08,200,0.17316908254980592,0,1
2026-09-26T05:23:51.401+00:00,82.23,200,0.04911077164287867,0,1
2026-09-26T05:23:51.410+00:00,77.17,200,0.26898992433252306,0,1
2026-09-26T05:23:51.403+00:00,85.13,200,0.07917617950879131,0,1
2026-09-26T05:23:51.456+00:00,56.41,200,0.02300257953195094,0,1
2026-09-26T05:23:51.477+00:00,60.31,200,0.016813015894295565,0,1
2026-09-26T05:23:51.480+00:00,58.99,200,0.15646242721467288,0,1
2026-09-26T05:23:51.483+00:00,65.88,200,0.48192186000843334,1,1
2026-09-26T05:23:51.489+00:00,61.97,200,0.43036909967614717,0,1
2026-09-26T05:23:51.487+00:00,174.84,200,0.4447200208341847,0,1
2026-09-26T05:23:51.512+00:00,150.98,200,0.04440888166460403,0,1
2026-09-26T05:23:51.549+00:00,114.64,200,0.2953446542193474,0,1
2026-09-26T05:23:51.551+00:00,114.45,200,0.05835007202243357,0,1
2026-09-26T05:23:51.539+00:00,126.48,200,0.11686432636259064,0,1
2026-09-26T05:23:51.537+00:00,128.92,200,0.09722298496584748,0,1
2026-09-26T05:23:51.666+00:00,78.87,200,0.2097352252734591,1,1
2026-09-26T05:23:51.662+00:00,83.58,200,0.05465738912230985,0,1
2026-09-26T05:23:51.663+00:00,84.51,200,0.5674305075844172,1,1
2026-09-26T05:23:51.665+00:00,83.25,200,0.047160777058547716,0,1
2026-09-26T05:23:51.666+00:00,83.17,200,0.06477986674529031,0,1
2026-09-26T05:23:51.664+00:00,95.47,200,0.10855085463879767,0,1
2026-09-26T05:23:51.748+00:00,58.93,200,0.048629589151520755,0,1
2026-09-26T05:23:51.749+00:00,75.32,200,0.12852958837178508,0,1
2026-09-26T05:23:51.746+00:00,79.01,200,0.02548149572832437,0,1
2026-09-26T05:23:51.747+00:00,88.08,200,0.19798130118009635,0,1
2026-09-26T05:23:51.760+00:00,76.73,200,0.022256974746043646,0,1
2026-09-26T05:23:51.745+00:00,91.62,200,0.054538452695495475,0,1
2026-09-26T05:23:51.807+00:00,56.03,200,0.1995017458136259,0,1
2026-09-26T05:23:51.836+00:00,62.1,200,0.042307499941431397,0,1
2026-09-26T05:23:51.824+00:00,74.11,200,0.03230609634033482,0,1
2026-09-26T05:23:51.825+00:00,74.3,200,0.014122448091251823,0,1
2026-09-26T05:23:51.863+00:00,57.85,200,0.03390015703716135,0,1
2026-09-26T05:23:51.898+00:00,96.96,200,0.018976612030057308,0,1
2026-09-26T05:23:51.837+00:00,170.79,200,0.025510864836627203,0,1
2026-09-26T05:23:51.899+00:00,112.95,200,0.14230930006721615,1,1
2026-09-26T05:23:51.836+00:00,176.34,200,0.1443246810542279,1,1
2026-09-26T05:23:51.898+00:00,124.06,200,0.02816496740088168,0,1
2026-09-26T05:23:51.921+00:00,101.02,200,0.04220680048559083,0,1
2026-09-26T05:23:51.995+00:00,60.74,200,0.11936568488507796,0,1
2026-09-26T05:23:52.008+00:00,56.07,200,0.025422696992029908,0,1
2026-09-26T05:23:52.012+00:00,69.66,200,0.06223067679942763,0,1
2026-09-26T05:23:52.013+00:00,70.54,200,0.03230609634033482,0,1
2026-09-26T05:23:52.083+00:00,95.5,200,0.019380273806840737,0,1
2026-09-26T05:23:52.022+00:00,157.65,200,0.016166616672357626,0,1
2026-09-26T05:23:52.022+00:00,158.49,200,0.5059479695457558,0,1
2026-09-26T05:23:52.064+00:00,117.53,200,0.047093805926115555,0,1
2026-09-26T05:23:52.082+00:00,99.87,200,0.10313639102011982,0,1
2026-09-26T05:23:52.056+00:00,126.85,200,0.027983100089052894,0,1
2026-09-26T05:23:52.181+00:00,59.39,200,0.02820502584204194,0,1
2026-09-26T05:23:52.181+00:00,88.82,200,0.04283513302078933,0,1
2026-09-26T05:23:52.183+00:00,87.55,200,0.07917617950879131,0,1
2026-09-26T05:23:52.182+00:00,92.72,200,0.14735721006293243,0,1
2026-09-26T05:23:52.179+00:00,98.19,200,0.01915251162165331,0,1
2026-09-26T05:23:52.179+00:00,99.19,200,0.05096675702543583,0,1
2026-09-26T05:23:52.240+00:00,53.79,200,0.11971008085621719,1,1
2026-09-26T05:23:52.270+00:00,60.36,200,0.1265408505350203,0,1
2026-09-26T05:23:52.270+00:00,67.57,200,0.424007790713177,1,1
2026-09-26T05:23:52.274+00:00,67.81,200,0.017882016372727134,0,1
2026-09-26T05:23:52.278+00:00,88.87,200,0.1995017458136259,0,1
2026-09-26T05:23:52.294+00:00,73.35,200,0.027749667575201493,0,1
2026-09-26T05:23:52.278+00:00,102.41,200,0.17508204024590918,0,1
2026-09-26T05:23:52.330+00:00,51.9,200,0.027942001643570354,0,1
2026-09-26T05:23:52.338+00:00,52.79,200,0.03197976999806585,0,1
2026-09-26T05:23:52.342+00:00,49.92,200,0.36130079537611953,0,1
2026-09-26T05:23:52.367+00:00,58.26,200,0.013466650801570638,0,1
2026-09-26T05:23:52.366+00:00,59.87,200,0.5495526621086776,1,1
2026-09-26T05:23:52.382+00:00,53.29,200,0.5016241863379214,0,1
2026-09-26T05:23:52.380+00:00,56.66,200,0.2077850803820075,0,1
2026-09-26T05:23:52.392+00:00,55.03,200,0.05592847409302006,0,1
2026-09-26T05:23:52.391+00:00,56.79,200,0.013798967622332405,0,1
2026-09-26T05:23:52.425+00:00,56.99,200,0.019485652140486573,0,1
2026-09-26T05:23:52.426+00:00,57.51,200,0.290641819179596,0,1
2026-09-26T05:23:52.437+00:00,59.76,200,0.5557349968022712,1,1
2026-09-26T05:23:52.447+00:00,64.78,200,0.017474837391996914,0,1
2026-09-26T05:23:52.436+00:00,86.77,200,0.0158924308089558,0,1
2026-09-26T05:23:52.448+00:00,75.97,200,0.25646863542044035,0,1
