at,t_s,phase,n,mean_p,z,log_loss,error_rate,p95_ms
2026-09-26T05:18:27.984+00:00,217.6,canary,9654,0.12266,0.66,0.27978,0.0,137.41612
2026-09-26T05:18:38.001+00:00,227.6,canary,9655,0.12224,0.35,0.27625,0.0,137.27903
2026-09-26T05:18:48.016+00:00,237.6,canary,9656,0.12331,1.14,0.27551,0.0,137.26473
2026-09-26T05:18:58.034+00:00,247.7,canary,9677,0.12375,1.47,0.27501,0.0,137.20512
2026-09-26T05:19:08.049+00:00,257.7,canary,9719,0.12386,1.55,0.2733,0.0,136.2431
2026-09-26T05:19:18.065+00:00,267.7,canary,9715,0.1246,2.11,0.2701,0.0,136.38902
2026-09-26T05:19:28.081+00:00,277.7,canary,9745,0.12456,2.08,0.27061,0.0,135.37812
2026-09-26T05:19:38.097+00:00,287.7,canary,9811,0.12429,1.89,0.26859,0.0,135.06579
2026-09-26T05:19:48.115+00:00,297.7,canary,9821,0.12424,1.85,0.266,0.0,135.30278
2026-09-26T05:19:58.134+00:00,307.8,canary,9815,0.12434,1.93,0.26379,0.0,135.47492
2026-09-26T05:20:08.153+00:00,317.8,canary,9844,0.12518,2.55,0.26189,0.0,135.74004
2026-09-26T05:20:18.174+00:00,327.8,canary,9861,0.12513,2.52,0.25949,0.0,136.06
2026-09-26T05:20:28.192+00:00,337.8,canary,9840,0.12527,2.62,0.25787,0.0,136.58381
2026-09-26T05:20:38.206+00:00,347.8,canary,9835,0.1259,3.1,0.25987,0.0,136.38711
2026-09-26T05:20:48.225+00:00,357.8,canary,9846,0.12624,3.35,0.26068,0.0,136.28078
2026-09-26T05:20:58.248+00:00,367.9,canary,9834,0.12598,3.15,0.25815,0.0,136.58023
2026-09-26T05:21:08.264+00:00,377.9,canary,9820,0.12677,3.74,0.26095,0.0,136.96885
2026-09-26T05:21:18.284+00:00,387.9,canary,9840,0.12715,4.04,0.26217,0.0,136.90209
2026-09-26T05:21:28.310+00:00,397.9,canary,9833,0.12795,4.63,0.26123,0.0,136.63316
2026-09-26T05:21:44.260+00:00,413.9,after-rollback,9747,0.12878,5.23,0.26672,0.0,136.54327
2026-09-26T05:21:54.285+00:00,423.9,after-rollback,9741,0.1281,4.72,0.26779,0.0,136.69229
2026-09-26T05:22:04.307+00:00,433.9,after-rollback,9710,0.12841,4.95,0.27166,0.0,136.73019
2026-09-26T05:22:14.332+00:00,444.0,after-rollback,9701,0.12772,4.43,0.2729,0.0,136.00016
2026-09-26T05:22:24.357+00:00,454.0,after-rollback,9698,0.12721,4.05,0.27256,0.0,135.76174
2026-09-26T05:22:34.378+00:00,464.0,after-rollback,9694,0.12703,3.91,0.27427,0.0,135.62989
2026-09-26T05:22:44.398+00:00,474.0,after-rollback,9713,0.12611,3.23,0.27471,0.0,135.6492
2026-09-26T05:22:54.416+00:00,484.0,after-rollback,9694,0.12538,2.68,0.27372,0.0,135.65302
2026-09-26T05:23:04.439+00:00,494.1,after-rollback,9540,0.12534,2.64,0.2755,0.0,137.23087
2026-09-26T05:23:14.465+00:00,504.1,after-rollback,9504,0.12363,1.37,0.27395,0.0,137.15577
2026-09-26T05:23:24.482+00:00,514.1,after-rollback,9464,0.12273,0.7,0.27211,0.0,137.63213
2026-09-26T05:23:34.507+00:00,524.1,after-rollback,9441,0.12131,-0.34,0.27321,0.0,138.18216
