bucket_start_utc,t_s,version_1,version_2,share_canary
2026-09-26T05:23:49.795+00:00,0,775,0,0.0
2026-09-26T05:23:59.795+00:00,10,807,0,0.0
2026-09-26T05:24:09.795+00:00,20,809,0,0.0
2026-09-26T05:24:19.795+00:00,30,768,0,0.0
2026-09-26T05:24:29.795+00:00,40,820,0,0.0
2026-09-26T05:24:39.795+00:00,50,771,0,0.0
2026-09-26T05:24:49.795+00:00,60,841,0,0.0
2026-09-26T05:24:59.795+00:00,70,834,0,0.0
2026-09-26T05:25:09.795+00:00,80,835,0,0.0
2026-09-26T05:25:19.795+00:00,90,820,0,0.0
2026-09-26T05:25:29.795+00:00,100,843,0,0.0
2026-09-26T05:25:39.795+00:00,110,807,0,0.0
2026-09-26T05:25:49.795+00:00,120,796,0,0.0
2026-09-26T05:25:59.795+00:00,130,820,0,0.0
2026-09-26T05:26:09.795+00:00,140,849,0,0.0
2026-09-26T05:26:19.795+00:00,150,820,0,0.0
2026-09-26T05:26:29.795+00:00,160,832,0,0.0
2026-09-26T05:26:39.795+00:00,170,846,0,0.0
2026-09-26T05:26:49.795+00:00,180,795,0,0.0
2026-09-26T05:26:59.795+00:00,190,769,0,0.0
2026-09-26T05:27:09.795+00:00,200,573,248,0.302
2026-09-26T05:27:19.795+00:00,210,431,423,0.495
2026-09-26T05:27:29.795+00:00,220,407,467,0.534
2026-09-26T05:27:39.795+00:00,230,437,433,0.498
2026-09-26T05:27:49.795+00:00,240,804,0,0.0
2026-09-26T05:27:59.795+00:00,250,745,0,0.0
2026-09-26T05:28:09.795+00:00,260,837,0,0.0
2026-09-26T05:28:19.795+00:00,270,835,0,0.0
2026-09-26T05:28:29.795+00:00,280,804,0,0.0
2026-09-26T05:28:39.795+00:00,290,828,0,0.0
2026-09-26T05:28:49.795+00:00,300,830,0,0.0
2026-09-26T05:28:59.795+00:00,310,828,0,0.0
2026-09-26T05:29:09.795+00:00,320,776,0,0.0
2026-09-26T05:29:19.795+00:00,330,838,0,0.0
2026-09-26T05:29:29.795+00:00,340,853,0,0.0
2026-09-26T05:29:39.795+00:00,350,831,0,0.0
2026-09-26T05:29:49.795+00:00,360,211,0,0.0
